m,discount_factor,result
-1,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.018, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               60.0         1.8
1      Defection               70.0        98.2}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8048.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               61.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5074.0       100.0}}"
-1,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.036, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               33.5         3.6
1      Defection               70.0        96.4}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8043.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               62.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5074.0       100.0}}"
-1,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.073, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               40.5         7.3
1      Defection               72.0        92.7}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8046.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               63.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5074.0       100.0}}"
-1,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.145, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               56.0        14.5
1      Defection               74.0        85.5}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8056.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               64.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5075.0       100.0}}"
-1,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.124, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0        10.9
1      Defection               81.0        87.3
2          Mixed            10000.0         1.8}, 'only_action_history_information': {'average_cooperation': 0.004, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8358.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               67.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5073.0       100.0}}"
-2,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.073, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               49.0         7.3
1      Defection               73.0        92.7}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8002.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               65.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5093.0       100.0}}"
-2,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.127, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               48.0        12.7
1      Defection               75.0        87.3}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8190.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               66.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5093.0       100.0}}"
-2,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.145, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               73.5        14.5
1      Defection               79.0        85.5}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8028.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               68.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5095.0       100.0}}"
-2,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.218, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               67.5        21.8
1      Defection               85.0        78.2}, 'only_action_history_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8435.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               73.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5095.0       100.0}}"
-2,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.455, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              100.0        45.5
1      Defection               91.0        54.5}, 'only_action_history_information': {'average_cooperation': 0.099, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         5.5
1      Defection             7556.5        83.6
2          Mixed            10000.0        10.9}, 'only_state_information': {'average_cooperation': 0.09, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               95.0         9.1
1      Defection               84.0        90.9}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5094.0       100.0}}"
