mode,discount_factor,m_value,policy
ecological,0.995,-4.0,"[[[1.0], [1.0]], [[0.0], [0.0]]]"
none,0.995,-6.0,"[[[0], [0]]]"
none,0.995,-6.5,"[[[0], [0]]]"
ecological,0.955,-6.5,"[[[0.0], [0.0]]]"
ecological,0.995,-6.5,"[[[1.0], [1.0]]]"
none,0.955,-6.5,"[[[0], [0]]]"
complete,0.995,-6.5,"[[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]], [[1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0]]]"
complete,0.955,-6.5,"[[[1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]"
complete,0.965,-6.5,"[[[1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]"
complete,0.975,-6.5,"[[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]], [[1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]"
ecological,0.965,-6.5,"[[[1.0], [1.0]], [[0.0], [0.0]]]"
ecological,0.975,-6.5,"[[[1.0], [1.0]], [[0.0], [0.0]]]"
ecological,0.985,-6.5,"[[[1.0], [1.0]], [[0.0], [0.0]]]"
none,0.965,-6.5,"[[[0], [0]]]"
none,0.975,-6.5,"[[[0], [0]]]"
none,0.985,-6.5,"[[[0], [0]]]"
social,0.955,-6.5,"[[[0, 0, 0, 0], [0, 0, 0, 0]]]"
social,0.965,-6.5,"[[[0, 0, 0, 0], [0, 0, 0, 0]]]"
social,0.975,-6.5,"[[[0, 0, 0, 0], [0, 0, 0, 0]]]"
complete,0.985,-6.5,"[[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]], [[1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0]], [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]]"
